anio mes dia dia_semana hora_inicio hora_fin actividad_base modalidad centro plazas ocupadas libres tipo_actividad
2026 1 31 sabado 08:00 09:00 nado_libre vaso_ensenanza Francisco_Fernandez_Ochoa 10 0 10 uso_libre
2026 1 31 sabado 08:00 09:30 uso_sala_musculacion ninguna Francisco_Fernandez_Ochoa 130 51 79 uso_libre
2026 1 31 sabado 08:10 09:10 nado_libre ninguna Francisco_Fernandez_Ochoa 120 37 83 uso_libre
2026 1 31 sabado 08:15 09:15 nado_libre ninguna La_Almudena 20 20 0 uso_libre
2026 1 31 sabado 08:15 09:45 uso_sala_musculacion ninguna La_Fundi 30 30 0 uso_libre
2026 1 31 sabado 08:30 10:00 uso_sala_multitrabajo ninguna Aluche 45 40 5 uso_libre
2026 1 31 sabado 08:30 10:00 sala_de_musculacion ninguna Felix_Rubio 12 12 0 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre ninguna Gallur 5 5 0 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre ninguna Gallur 30 30 0 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre bordillo Gallur 5 5 0 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre central Gallur 10 0 10 uso_libre
2026 1 31 sabado 08:30 09:30 uso_de vaso_ensenanza La_Almudena 8 6 2 uso_libre
2026 1 31 sabado 08:30 10:00 uso_sala_multitrabajo ninguna La_Chopera 20 5 15 uso_libre
2026 1 31 sabado 08:30 10:00 uso_sala_musculacion ninguna Marques_de_Samaranch 30 30 0 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre ninguna Pradillo 8 0 8 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre ninguna Pradillo 32 22 10 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre bordillo Pradillo 2 0 2 uso_libre
2026 1 31 sabado 08:30 09:30 nado_libre bordillo Pradillo 8 0 8 uso_libre
2026 1 31 sabado 08:30 09:30 uso_de vaso_ensenanza Pradillo 6 0 6 uso_libre
2026 1 31 sabado 08:30 09:30 uso vaso_ensenanza Pradillo 2 0 2 uso_libre
2026 1 31 sabado 08:45 09:30 fitness_acuatico ninguna Pradillo 18 17 1 actividad_dirigida
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Alfredo_Goyeneche 20 20 0 uso_libre
2026 1 31 sabado 09:00 09:45 natacion_acondicionamiento ninguna Alfredo_Goyeneche 12 12 0 actividad_dirigida
2026 1 31 sabado 09:00 10:30 uso_sala_musculacion ninguna Alfredo_Goyeneche 50 36 14 uso_libre
2026 1 31 sabado 09:00 10:00 uso_de vaso_ensenanza Alfredo_Goyeneche 15 4 11 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Aluche 10 5 5 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Aluche 20 4 16 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Antonio_Diaz_Miguel 80 65 15 uso_libre
